id,title,url,source_site,publish_date,auto_decision,auto_reason,suggested_label,manual_label,manual_note
2375,绵阳市骨科医院见习人员招募公告,https://www.scsmysgkyy.cn/index.php?m=content&c=index&a=show&catid=20&id=261,site_183_183,2026-04-02 18:27:14.805184,review,见习,,,
2360,成都市郫都区人民医院 关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2026/04/01/1594.html,site_149_149,2026-04-01 21:25:51.793965,review,辅助岗,,,
2342,重庆大地数博科技有限公司兼职招聘,https://www.cqljzp.com/announcement/index.php?id=1615,site_159_159,2026-03-31 14:25:35.610152,review,泛招聘词,,,
2337,宜宾市第四人民医院2026年第二次公开招募就业见习人员公告2026-03-31,https://www.ybsdsrmyy.com/job/1800.html,site_118_118,2026-03-31 14:24:14.227185,review,见习,,,
2318,天府锦城实验室(前沿医学中心)招聘启示,https://www.wchscu.cn/public/notice/recruit/91210.html,site_42_42,2026-03-30 18:32:29.485705,review,泛招聘词,,,
2279,四川大学华西医院张伟教授团队项目制科研助理招聘启事,https://www.wchscu.cn/public/notice/recruit/91171.html,site_42_42,2026-03-27 20:31:44.366473,review,科研助理,,,
2275,关于招聘外派康复治疗技师的通知,http://www.ncrmyy.com/html/content/26/03/19843.shtml,site_20_20,2026-03-27 20:31:04.327146,review,泛招聘词,,,
2246,成都中医药大学附属医院巴中医院（巴中市中医医院）2026年上半年引进卫生类高层次人才...,http://www.sctcm120.com/info/1093/18459.htm,site_34_34,2026-03-25 20:49:55.012518,review,泛招聘词,,,
2237,资阳市人民医院 2025年招聘劳务派遣工作人员的公告,https://www.zysrmyy.com/hos_hr/2025/BeXQoAay.html,site_188_188,2026-03-24 17:46:40.946885,review,劳务派遣 | 派遣,,,
2220,232025-07四川省第二中医医院医疗卫生辅助岗招募公告浏览：1227,https://www.sc2zyy.com/newsshow.aspx?mid=414&id=12936,site_181_181,2026-03-24 17:46:34.109714,review,辅助岗,,,
2219,232025-07四川省第二中医医院科研助理岗位招聘公告浏览：1192,https://www.sc2zyy.com/newsshow.aspx?mid=414&id=12937,site_181_181,2026-03-24 17:46:34.108409,review,科研助理,,,
2210,剑阁县人民医院2017年合同制护士招聘公告,https://www.jgrmyy.cn/article.html?id=4645,site_172_172,2026-03-24 17:46:21.727298,review,合同制,,,
2208,剑阁县人民医院2016年合同制护士招聘公告,https://www.jgrmyy.cn/article.html?id=4643,site_172_172,2026-03-24 17:46:21.725018,review,合同制,,,
2202,剑阁县人民医院见习生招录公告,https://www.jgrmyy.cn/article.html?id=4991,site_172_172,2026-03-24 17:46:21.716484,review,见习,,,
2145,雅安市中医医院2025年见习生招录公告,https://www.scsyaszyyy.com/yydt_zpxx/010011900003538.html,site_130_130,2026-03-24 17:44:59.979606,review,见习,,,
2143,雅安市中医医院2025年医疗卫生辅助岗招募公告,https://www.scsyaszyyy.com/yydt_zpxx/010011900003548.html,site_130_130,2026-03-24 17:44:59.977338,review,辅助岗,,,
2129,雅安市人民医院关于转发《雅安市2022年“雅州英才”工程赴外招才引智引进高…,https://www.yasyy.com/news/yasyy_1801/2022411/3539.html,site_128_128,2026-03-24 17:44:55.122260,review,泛招聘词,,,
2128,雅安市人民医院科研助理招聘公告,https://www.yasyy.com/news/yasyy_1801/2022726/3766.html,site_128_128,2026-03-24 17:44:55.121256,review,科研助理,,,
2126,雅安市人民医院科研助理招聘公告,https://www.yasyy.com/news/yasyy_1801/202292/3851.html,site_128_128,2026-03-24 17:44:55.118838,review,科研助理,,,
2097,【人才招聘】岳池县中医医院2025年招收见习工作人员的公告,http://www.ycxzyyy.cn/plus/view.scjg?aid=8966,site_123_123,2026-03-24 17:44:45.743207,review,见习,,,
2091,岳池县中医医院2026年招收见习工作人员的公告,http://www.ycxzyyy.cn/plus/view.scjg?aid=9129,site_123_123,2026-03-24 17:44:45.728082,review,见习,,,
2085,宜宾市第四人民医院2025年第二次公开招募就业见习人员公告2025-10-11,https://www.ybsdsrmyy.com/job/1693.html,site_118_118,2026-03-24 17:44:39.327387,review,见习,,,
2083,宜宾市第四人民医院2026年第一次公开招募就业见习人员公告2026-03-06,https://www.ybsdsrmyy.com/job/1787.html,site_118_118,2026-03-24 17:44:39.324842,review,见习,,,
2052,南充市身心医院人事科关于组织春季招聘考试活动的通知,https://www.ncsxyy.com/news/zpxx/2020-03-19/1044.html,site_113_113,2026-03-24 17:44:27.460762,review,泛招聘词,,,
2011,关于开展乐山市人民医院2025年春季自主招聘护理人员考核工作的通知,https://www.leshan-hospital.com.cn/aspx/view_7C659942B2BAFCF1.html,site_107_107,2026-03-24 17:44:24.238147,review,泛招聘词,,,
1992,剑阁县中医院2017年医学毕业生招聘计划,http://jgxzy.com/info/511.htm,site_97_97,2026-03-24 17:44:16.779726,review,泛招聘词,,,
1991,剑阁县中医院2017年招聘计划,http://www.jgxzyy.cn/article.html?id=536,site_97_97,2026-03-24 17:44:16.778517,review,泛招聘词,,,
1989,剑阁县中医医院合同制医学影像技术人员紧急招聘公告,http://www.jgxzyy.cn/article.html?id=999,site_97_97,2026-03-24 17:44:16.775686,review,合同制,,,
1967,德阳市口腔医院2026年总体拟招聘计划表,https://www.dykq120.com/index.php/shows/53/1564.html,site_86_86,2026-03-24 17:44:09.605052,review,泛招聘词,,,
1952,攀枝花市中心医院招聘见习生,https://mp.weixin.qq.com/s/IABhE0c782XNIrcYn31vmA,site_80_80,2026-03-24 17:44:03.874500,review,见习,,,
1940,•富顺县人民医院关于招聘见习护士的公告,https://www.fsx120.cn/View_487_2515.html,site_77_77,2026-03-24 17:43:59.340416,review,见习,,,
1936,•富顺县人民医院2025年人员招聘需求,https://www.fsx120.cn/View_487_9016.html,site_77_77,2026-03-24 17:43:59.330417,review,泛招聘词,,,
1934,自贡市第一人民医院招聘医疗辅助岗人员公告,https://www.zgno1hos.com.cn/details/yygg/zxls/6087507.html,site_71_71,2026-03-24 17:43:51.641623,review,辅助岗,,,
1897,四川大学华西第四医院泌尿外科/盆底男科科研助理选聘,https://www.wcfh.com.cn/zhb_tzgg_rczp/010005700015388.html,site_41_41,2026-03-24 17:43:28.516368,review,科研助理,,,
1893,四川大学华西第四医院尘肺科/呼吸与危重症医学科科研助理选聘,https://www.wcfh.com.cn/zhb_tzgg_rczp/010005700016057.html,site_41_41,2026-03-24 17:43:28.512724,review,科研助理,,,
1886,四川大学华西第四医院甲状腺乳腺外科科研助理招聘,https://www.wcfh.com.cn/zhb_tzgg_rczp/010005700016972.html,site_41_41,2026-03-24 17:43:28.505206,review,科研助理,,,
1864,关于2025“蓉漂人才荟”成都市医疗卫生事业单位公开（考核）招聘2025年、2026年医...,https://cdfy120.cdu.edu.cn/info/1174/13224.htm,site_33_33,2026-03-24 17:43:20.834718,review,泛招聘词,,,
1832,重庆医科大学附属永川医院招聘援巴新医疗队厨师,https://www.ychcqmu.com/recruitment_system_rszp_qtryzp/130026200000268.html,site_15_15,2026-03-24 17:43:11.324920,review,泛招聘词,,,
1818,重庆市渝北区人民医院常年引进高层次人才计划,https://www.ybqrmyy.com/pageInfoArt.html?artId=19&page=1,site_8_8,2026-03-24 17:42:58.510157,review,泛招聘词,,,
1788,重庆市红十字会医院（江北区人民医院） 非编招聘工作人员,https://www.cqshszhyy.cn/html/content/25/06/5277.shtml,site_162_162,2026-03-23 18:16:22.513819,review,泛招聘词,,,
1741,江油市人民医院2025年招募见习生公告,https://www.scjysrmyy.com/html/News/GongGao/RenYuanZhaoPin/202504/202504273Py5Rl5Lv5Gf44413872.html,site_94_94,2026-03-23 18:15:46.677431,review,见习,,,
1721,>泸县第二人民医院招聘精神科医生,https://www.lxery.com/go.htm?url=home_detail&ctype=article&id=74624&k=zhao_pin_xin_xi,site_84_84,2026-03-23 18:15:27.531316,review,泛招聘词,,,
1623,人才招聘,https://www.scsmysgkyy.cn/index.php?m=content&c=index&a=show&catid=20&id=241,site_185_185,2026-03-23 15:04:42.271701,review,泛招聘词,,,
1483,泰科防务科技（重庆）有限公司派遣岗位招聘简章,https://www.cqljzp.com/announcement/index.php?id=1604,site_161_161,2026-03-23 15:03:00.191113,review,派遣,,,
1478,重庆两江鱼复智选假日酒店劳务派遣岗位（前厅部经理）招聘简章,https://www.cqljzp.com/announcement/index.php?id=1609,site_161_161,2026-03-23 15:03:00.181486,review,劳务派遣 | 派遣,,,
1459,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/vbmZEOdY.html,site_155_155,2026-03-23 15:02:46.127412,review,辅助岗,,,
1458,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/RdG690bD.html,site_155_155,2026-03-23 15:02:46.124716,review,辅助岗,,,
1457,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/QeZ6w6ep.html,site_155_155,2026-03-23 15:02:46.121671,review,辅助岗,,,
1456,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/lejRv5ej.html,site_155_155,2026-03-23 15:02:46.118680,review,辅助岗,,,
1455,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/mbkRwXaz.html,site_155_155,2026-03-23 15:02:46.114985,review,辅助岗,,,
1454,四川省第四人民医院•四川大学华西春熙医院招募医疗卫生辅助岗项目人员公告,https://m.scsdsrmyy.cn/ennews_recruitment/2025/wdL9Y4ej.html,site_155_155,2026-03-23 15:02:46.110395,review,辅助岗,,,
1426,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/06/09/1442.html,site_150_150,2026-03-23 15:02:27.088780,review,辅助岗,,,
1425,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/06/20/1455.html,site_150_150,2026-03-23 15:02:27.086209,review,辅助岗,,,
1424,成都市郫都区人民医院关于招聘4名辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/07/08/1461.html,site_150_150,2026-03-23 15:02:27.083876,review,辅助岗,,,
1423,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/08/06/1482.html,site_150_150,2026-03-23 15:02:27.081347,review,辅助岗,,,
1422,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/10/17/1514.html,site_150_150,2026-03-23 15:02:27.078704,review,辅助岗,,,
1421,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/11/19/1532.html,site_150_150,2026-03-23 15:02:27.075564,review,辅助岗,,,
1420,成都市郫都区人民医院关于招聘辅助岗位职工的公告,https://www.pdqrmyy.cn/show/2025/11/28/1541.html,site_150_150,2026-03-23 15:02:27.072119,review,辅助岗,,,
